GameID,GameDate,TeamID,OpponentTeamID,MATCHUP,PTS,OPTS,PointsPG,OppPointsPG,PointsPGOpponent,OppPointsPGOpponent,FG_PCT,PlusMinusClutch,Age,PlayoffMins,AdjustedPTS,AdjustedOPTS,PrevPTS,PrevOPTS,PrevMargin,SeriesGP,SeriesLead,SeriesWinPercent,MissingMins
41600142,4/19/17,1610612757,1610612744,POR @ GSW,81,110,107.9,108.5,115.9,104.3,0.43,17,24.30769231,4033.388333,81.70480965,109.0592232,109.9484476,119.9651455,0.8892244,2,-1,0,0.85507426
41600162,4/19/17,1610612760,1610612745,OKC @ HOU,111,115,106.6,105.8,115.3,109.6,0.442,80,25.46153846,7183.84,111.9658503,114.0164606,87.75701777,116.990803,-26.2594428,2,-1,0,0.897427501
41600162,4/19/17,1610612745,1610612760,HOU vs. OKC,115,111,115.3,109.6,106.6,105.8,0.409,-30,26.92857143,9166.968333,114.0164606,111.9658503,116.990803,87.75701777,5.024952758,2,1,0.5,0.786491995
41600132,4/19/17,1610612737,1610612764,ATL @ WAS,101,109,103.2,104,109.2,107.4,0.452,42,29.23076923,10598.16167,101.8788367,108.0677757,107.9310448,113.0250131,-0.136730824,2,-1,0,0.820485161
41600132,4/19/17,1610612764,1610612737,WAS vs. ATL,109,101,109.2,107.4,103.2,104,0.469,75,26.21428571,4537.051667,108.0677757,101.8788367,113.0250131,107.9310448,11.14617636,2,1,0.5,0.841170654
41600113,4/20/17,1610612754,1610612739,IND vs. CLE,114,119,105.1,105.3,110.3,107.2,0.414,-18,27.54545455,9448.808333,113.0250131,120.0354611,111.9658503,115.9993555,-8.06961083,3,0,0.333333333,0.806640561
41600113,4/20/17,1610612739,1610612754,CLE @ IND,119,114,110.3,107.2,105.1,105.3,0.453,57,31.30769231,27785.125,120.0354611,113.0250131,115.9993555,111.9658503,2.97434245,3,0,0.333333333,0.856797703
41600123,4/20/17,1610612749,1610612761,MIL vs. TOR,104,77,103.6,103.8,106.9,102.6,0.397,-49,26.30769231,6612.47,103.1105383,77.67000424,100.8701354,105.0934332,23.20013114,3,0,0.333333333,0.77613271
41600123,4/20/17,1610612761,1610612749,TOR @ MIL,77,104,106.9,102.6,103.6,103.8,0.457,63,26.07142857,9389.176667,77.67000424,103.1105383,105.0934332,100.8701354,1.982894966,3,0,0.333333333,0.887563616
41600153,4/20/17,1610612763,1610612759,MEM vs. SAS,105,94,100.5,100,105.3,98.1,0.421,44,27,9402.975,104.1019857,94.81792725,82.713511,95.17895839,-12.10441624,3,-2,0,0.806731223
41600153,4/20/17,1610612759,1610612763,SAS @ MEM,94,105,105.3,98.1,100.5,100,0.429,100,29.13333333,26118.57167,94.81792725,104.1019857,95.17895839,82.713511,-8.923027349,3,2,0.666666667,0.970673399
41600103,4/21/17,1610612741,1610612738,CHI vs. BOS,87,104,102.9,102.4,108,105.4,0.385,44,26.2,12261.64,86.25593104,104.9049408,111.9658503,96.17040587,7.060909476,3,2,0.666666667,0.746031008
41600103,4/21/17,1610612738,1610612741,BOS @ CHI,104,87,108,105.4,102.9,102.4,0.453,78,26,5460.088333,104.9049408,86.25593104,96.17040587,111.9658503,9.914474832,3,-2,0,0.96544166
41600173,4/21/17,1610612762,1610612746,UTA vs. LAC,106,111,100.7,96.8,108.7,104.4,0.489,41,26.85714286,9866.133333,105.0934332,111.9658503,91.79182319,98.15330084,-20.17402707,3,0,0.333333333,0.682724374
41600173,4/21/17,1610612746,1610612762,LAC @ UTA,111,106,108.7,104.4,100.7,96.8,0.403,23,31.16666667,19430.85667,111.9658503,105.0934332,98.15330084,91.79182319,-6.940132383,3,0,0.333333333,0.849536657
41600163,4/21/17,1610612760,1610612745,OKC vs. HOU,115,113,106.6,105.8,115.3,109.6,0.442,80,25.46153846,7183.84,114.0164606,113.983253,111.9658503,114.0164606,-2.017402707,3,-2,0,0.752794833
41600163,4/21/17,1610612745,1610612760,HOU @ OKC,113,115,115.3,109.6,106.6,105.8,0.409,-30,26.92857143,9166.968333,113.983253,114.0164606,114.0164606,111.9658503,0,3,2,0.666666667,0.786491995
41600143,4/22/17,1610612744,1610612757,GSW @ POR,119,113,115.9,104.3,107.9,108.5,0.417,31,28.78571429,21643.80833,120.0354611,112.0335656,109.0592232,81.70480965,-2.97434245,3,2,0.666666667,0.749648888
41600143,4/22/17,1610612757,1610612744,POR vs. GSW,113,119,107.9,108.5,115.9,104.3,0.43,17,24.30769231,4033.388333,112.0335656,120.0354611,81.70480965,109.0592232,-38.33065144,3,-2,0,0.790698445
41600133,4/22/17,1610612764,1610612737,WAS @ ATL,98,116,109.2,107.4,103.2,104,0.469,75,26.21428571,4537.051667,98.85273266,115.0079081,108.0677757,101.8788367,-6.940132383,3,2,0.666666667,0.895609083
41600133,4/22/17,1610612737,1610612764,ATL vs. WAS,116,98,103.2,104,109.2,107.4,0.452,42,29.23076923,10598.16167,115.0079081,98.85273266,101.8788367,108.0677757,3.026104061,3,-2,0,0.917879443
41600124,4/22/17,1610612749,1610612761,MIL vs. TOR,76,87,103.6,103.8,106.9,102.6,0.397,-49,26.30769231,6612.47,75.35000873,87.75701777,103.1105383,77.67000424,15.35352048,4,1,0.5,0.74431724
41600124,4/22/17,1610612761,1610612749,TOR @ MIL,87,76,106.9,102.6,103.6,103.8,0.457,63,26.07142857,9389.176667,87.75701777,75.35000873,77.67000424,103.1105383,2.319995511,4,-1,0.25,0.78602216
41600154,4/22/17,1610612763,1610612759,MEM vs. SAS,110,108,100.5,100,105.3,98.1,0.421,44,27,9402.975,109.0592232,108.9397462,104.1019857,94.81792725,-4.837760463,4,-1,0.25,0.746373189
41600154,4/22/17,1610612759,1610612763,SAS @ MEM,108,110,105.3,98.1,100.5,100,0.429,100,29.13333333,26118.57167,108.9397462,109.0592232,94.81792725,104.1019857,-14.24129591,4,1,0.5,0.887302028
41600104,4/23/17,1610612741,1610612738,CHI vs. BOS,95,104,102.9,102.4,108,105.4,0.385,44,26.2,12261.64,94.18751091,104.9049408,86.25593104,104.9049408,-18.64900975,4,1,0.5,0.715020981
41600104,4/23/17,1610612738,1610612741,BOS @ CHI,104,95,108,105.4,102.9,102.4,0.453,78,26,5460.088333,104.9049408,94.18751091,104.9049408,86.25593104,10.71742988,4,-1,0.25,0.872903653
41600114,4/23/17,1610612739,1610612754,CLE @ IND,106,102,110.3,107.2,105.1,105.3,0.453,57,31.30769231,27785.125,106.9223435,101.1276433,120.0354611,113.0250131,18.9078178,4,1,0.5,0.775026576
41600114,4/23/17,1610612754,1610612739,IND vs. CLE,102,106,105.1,105.3,110.3,107.2,0.414,-18,27.54545455,9448.808333,101.1276433,106.9223435,113.0250131,120.0354611,6.102669594,4,-1,0.25,0.850524805
41600174,4/23/17,1610612746,1610612762,LAC @ UTA,98,105,108.7,104.4,100.7,96.8,0.403,23,31.16666667,19430.85667,98.85273266,104.1019857,111.9658503,105.0934332,7.863864524,4,1,0.5,0.744440395
41600174,4/23/17,1610612762,1610612746,UTA vs. LAC,105,98,100.7,96.8,108.7,104.4,0.489,41,26.85714286,9866.133333,104.1019857,98.85273266,105.0934332,111.9658503,6.240700558,4,-1,0.25,0.883762507
41600164,4/23/17,1610612745,1610612760,HOU @ OKC,113,109,115.3,109.6,106.6,105.8,0.409,-30,26.92857143,9166.968333,113.983253,108.0677757,113.983253,114.0164606,5.915477298,4,1,0.5,0.786491995
41600164,4/23/17,1610612760,1610612745,OKC vs. HOU,109,113,106.6,105.8,115.3,109.6,0.442,80,25.46153846,7183.84,108.0677757,113.983253,114.0164606,113.983253,0.033207601,4,-1,0.25,0.752794833
41600144,4/24/17,1610612744,1610612757,GSW @ POR,128,103,115.9,104.3,107.9,108.5,0.417,31,28.78571429,21643.80833,129.1137733,102.1190908,120.0354611,112.0335656,17.91637032,4,3,0.75,0.881746377
41600144,4/24/17,1610612757,1610612744,POR vs. GSW,103,128,107.9,108.5,115.9,104.3,0.43,17,24.30769231,4033.388333,102.1190908,129.1137733,112.0335656,120.0354611,-17.08020767,4,-3,0,0.85507426
