GameID,GameDate,TeamID,OpponentTeamID,MATCHUP,PTS,OPTS,PointsPG,OppPointsPG,PointsPGOpponent,OppPointsPGOpponent,FG_PCT,PlusMinusClutch,Age,PlayoffMins,AdjustedPTS,AdjustedOPTS,PrevPTS,PrevOPTS,SeriesGP,MissingMins
0041600151,2017-04-15,1610612759,1610612763,SAS vs. MEM,111,82,105.3,98.1,100.5,100.0,0.429,100.0,29.133333333333333,26118.571666666663,110.05067063832072,82.71351100496845,110.05067063832072,82.71351100496845,1,0.9688260540267608
0041600151,2017-04-15,1610612763,1610612759,MEM @ SAS,82,111,100.5,100.0,105.3,98.1,0.421,44.0,27.0,9402.974999999999,82.71351100496845,110.05067063832072,82.71351100496845,110.05067063832072,1,0.8291816126601357
0041600171,2017-04-15,1610612762,1610612746,UTA @ LAC,97,95,100.7,96.8,108.7,104.4,0.489,41.0,26.857142857142858,9866.133333333333,97.84403131075535,94.18751090667088,97.84403131075535,94.18751090667088,1,0.8259890323124948
0041600171,2017-04-15,1610612746,1610612762,LAC vs. UTA,95,97,108.7,104.4,100.7,96.8,0.403,23.0,31.166666666666668,19430.856666666667,94.18751090667088,97.84403131075535,94.18751090667088,97.84403131075535,1,0.8085283894372732
0041600111,2017-04-15,1610612754,1610612739,IND @ CLE,108,109,105.1,105.3,110.3,107.2,0.414,-18.0,27.545454545454547,9448.808333333334,108.93974620166576,108.0677756718645,108.93974620166576,108.0677756718645,1,0.8236814404432132
0041600111,2017-04-15,1610612739,1610612754,CLE vs. IND,109,108,110.3,107.2,105.1,105.3,0.453,57.0,31.307692307692307,27785.125,108.0677756718645,108.93974620166576,108.0677756718645,108.93974620166576,1,0.7587473172367539
0041600121,2017-04-15,1610612749,1610612761,MIL @ TOR,97,83,103.6,103.8,106.9,102.6,0.397,-49.0,26.307692307692307,6612.469999999999,97.84403131075535,82.29014110793351,97.84403131075535,82.29014110793351,1,0.8334309066397033
0041600121,2017-04-15,1610612761,1610612749,TOR vs. MIL,83,97,106.9,102.6,103.6,103.8,0.457,63.0,26.071428571428573,9389.176666666666,82.29014110793351,97.84403131075535,82.29014110793351,97.84403131075535,1,0.8875636164475902
0041600141,2017-04-16,1610612757,1610612744,POR @ GSW,109,121,107.9,108.5,115.9,104.3,0.43,17.0,24.307692307692307,4033.388333333333,109.94844755538489,119.96514547060187,109.94844755538489,119.96514547060187,1,0.8385755979260747
0041600141,2017-04-16,1610612744,1610612757,GSW vs. POR,121,109,115.9,104.3,107.9,108.5,0.417,31.0,28.785714285714285,21643.808333333338,119.96514547060187,109.94844755538489,119.96514547060187,109.94844755538489,1,0.9454300640377485
0041600101,2017-04-16,1610612738,1610612741,BOS vs. CHI,102,106,108.0,105.4,102.9,102.4,0.453,78.0,26.0,5460.088333333333,101.1276432892677,106.9223434942275,101.1276432892677,106.9223434942275,1,0.9169229730869821
0041600101,2017-04-16,1610612741,1610612738,CHI @ BOS,106,102,102.9,102.4,108.0,105.4,0.385,44.0,26.2,12261.640000000001,106.9223434942275,101.1276432892677,106.9223434942275,101.1276432892677,1,0.7232486518368724
0041600161,2017-04-16,1610612745,1610612760,HOU vs. OKC,118,87,115.3,109.6,106.6,105.8,0.409,-30.0,26.928571428571427,9166.968333333334,116.99080302091753,87.75701777356409,116.99080302091753,87.75701777356409,1,0.8534915739804515
0041600161,2017-04-16,1610612760,1610612745,OKC @ HOU,87,118,106.6,105.8,115.3,109.6,0.442,80.0,25.46153846153846,7183.84,87.75701777356409,116.99080302091753,87.75701777356409,116.99080302091753,1,0.8842833459564083
0041600131,2017-04-16,1610612737,1610612764,ATL @ WAS,107,114,103.2,104.0,109.2,107.4,0.452,42.0,29.23076923076923,10598.16166666667,107.93104484794664,113.02501308800507,107.93104484794664,113.02501308800507,1,0.740225352112676
0041600131,2017-04-16,1610612764,1610612737,WAS vs. ATL,114,107,109.2,107.4,103.2,104.0,0.469,75.0,26.214285714285715,4537.051666666666,113.02501308800507,107.93104484794664,113.02501308800507,107.93104484794664,1,0.8773936875682027
0041600152,2017-04-17,1610612759,1610612763,SAS vs. MEM,96,82,105.3,98.1,100.5,100.0,0.429,100.0,29.133333333333333,26118.571666666663,95.17895838989901,82.71351100496845,110.05067063832072,82.71351100496845,2,0.8433567280989649
0041600152,2017-04-17,1610612763,1610612759,MEM @ SAS,82,96,100.5,100.0,105.3,98.1,0.421,44.0,27.0,9402.974999999999,82.71351100496845,95.17895838989901,82.71351100496845,110.05067063832072,2,0.768823578665327
0041600112,2017-04-17,1610612754,1610612739,IND @ CLE,111,117,105.1,105.3,110.3,107.2,0.414,-18.0,27.545454545454547,9448.808333333334,111.96585026282314,115.99935553768941,108.93974620166576,108.0677756718645,2,0.8505248048350541
0041600112,2017-04-17,1610612739,1610612754,CLE vs. IND,117,111,110.3,107.2,105.1,105.3,0.453,57.0,31.307692307692307,27785.125,115.99935553768941,111.96585026282314,108.0677756718645,108.93974620166576,2,0.8561940811535882
0041600102,2017-04-18,1610612738,1610612741,BOS vs. CHI,97,111,108.0,105.4,102.9,102.4,0.453,78.0,26.0,5460.088333333333,96.17040587312712,111.96585026282314,101.1276432892677,106.9223434942275,2,0.902420062431452
0041600102,2017-04-18,1610612741,1610612738,CHI @ BOS,111,97,102.9,102.4,108.0,105.4,0.385,44.0,26.2,12261.640000000001,111.96585026282314,96.17040587312712,106.9223434942275,101.1276432892677,2,0.8154114425345467
